team,color,logo
1. FC Koeln,#DE77AE,http://upload.wikimedia.org/wikipedia/en/5/53/FC_Cologne_logo.svg
1. FSV Mainz 05,#FDBF6F,https://upload.wikimedia.org/wikipedia/commons/9/9e/Logo_Mainz_05.svg
Bayer Leverkusen,#FF0000,http://upload.wikimedia.org/wikipedia/en/5/59/Bayer_04_Leverkusen_logo.svg
Bayern Munich,#E31A1C,https://fcbayern.com/shop/_ui/responsive/theme-red/images/fcbayern_logo.svg
Borussia Dortmund,#F9E715,http://upload.wikimedia.org/wikipedia/commons/6/67/Borussia_Dortmund_logo.svg
Borussia Moenchengladbach,#000000,http://upload.wikimedia.org/wikipedia/commons/8/81/Borussia_M%C3%B6nchengladbach_logo.svg
Eintracht Frankfurt,#9E0142,http://upload.wikimedia.org/wikipedia/commons/0/04/Eintracht_Frankfurt_Logo.svg
FC Augsburg,#76111A,https://upload.wikimedia.org/wikipedia/de/b/b5/Logo_FC_Augsburg.svg
Hamburger SV,#7A0177,http://upload.wikimedia.org/wikipedia/commons/6/66/HSV-Logo.svg
Hannover 96,#179D33,http://upload.wikimedia.org/wikipedia/commons/5/50/Hannover_96.png
Hertha BSC,#6BAED6,http://upload.wikimedia.org/wikipedia/en/5/5e/Hertha_Berlin_SC.png
SC Freiburg,#7C7C7C,https://upload.wikimedia.org/wikipedia/de/f/f1/SC-Freiburg_Logo-neu.svg
SC Paderborn,#3182BD,https://upload.wikimedia.org/wikipedia/commons/e/e3/SC_Paderborn_07_Logo.svg
Schalke 04,#0060A9,https://upload.wikimedia.org/wikipedia/commons/6/6d/FC_Schalke_04_Logo.svg
SV Werder Bremen,#1D9053,http://upload.wikimedia.org/wikipedia/commons/b/be/SV-Werder-Bremen-Logo.svg
TSG 1899 Hoffenheim,#08306B,http://upload.wikimedia.org/wikipedia/commons/e/e7/Logo_TSG_Hoffenheim.svg
VfB Stuttgart,#FF7F00,http://upload.wikimedia.org/wikipedia/commons/e/eb/VfB_Stuttgart_1893_Logo.svg
VfL Wolfsburg,#449C2B,http://upload.wikimedia.org/wikipedia/commons/f/f3/Logo-VfL-Wolfsburg.svg